Id,Category
0,0
1,0
2,3
3,0
4,3
5,8
6,5
7,0
8,0
9,3
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,3
23,0
24,0
25,0
26,8
27,3
28,0
29,0
30,0
31,3
32,3
33,2
34,1
35,0
36,0
37,0
38,3
39,0
40,0
41,8
42,0
43,0
44,0
45,3
46,0
47,8
48,0
49,0
50,0
51,0
52,5
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,0
61,7
62,2
63,0
64,0
65,1
66,0
67,3
68,0
69,0
70,3
71,9
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,3
80,3
81,3
82,3
83,0
84,3
85,2
86,0
87,3
88,0
89,0
90,0
91,0
92,8
93,3
94,0
95,3
96,0
97,4
98,8
99,0
100,0
101,8
102,0
103,9
104,5
105,0
106,0
107,0
108,0
109,2
110,0
111,0
112,8
113,0
114,0
115,3
116,0
117,3
118,0
119,8
120,3
121,0
122,9
123,0
124,0
125,3
126,3
127,0
128,0
129,8
130,9
131,0
132,2
133,3
134,0
135,1
136,0
137,3
138,0
139,8
140,0
141,3
142,8
143,0
144,0
145,9
146,1
147,1
148,0
149,0
150,9
151,0
152,3
153,2
154,0
155,9
156,3
157,8
158,0
159,0
160,8
161,8
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,3
179,3
180,1
181,3
182,1
183,3
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,2
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,9
205,1
206,5
207,1
208,1
209,5
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,3
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,3
236,0
237,3
238,1
239,1
240,5
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,7
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,3
263,1
264,1
265,1
266,0
267,1
268,9
269,1
270,1
271,1
272,2
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,2
283,1
284,1
285,3
286,1
287,4
288,1
289,1
290,1
291,1
292,1
293,1
294,2
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,1
303,1
304,3
305,1
306,4
307,2
308,2
309,4
310,2
311,2
312,3
313,2
314,2
315,3
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,5
324,1
325,4
326,8
327,2
328,2
329,4
330,4
331,2
332,2
333,8
334,2
335,2
336,1
337,2
338,2
339,4
340,2
341,2
342,2
343,2
344,2
345,1
346,2
347,4
348,2
349,2
350,2
351,2
352,3
353,2
354,2
355,3
356,2
357,2
358,2
359,4
360,2
361,2
362,1
363,2
364,4
365,2
366,2
367,5
368,2
369,2
370,1
371,2
372,2
373,2
374,2
375,2
376,2
377,4
378,2
379,2
380,9
381,4
382,7
383,2
384,8
385,2
386,0
387,2
388,2
389,2
390,2
391,2
392,5
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,2
405,2
406,0
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,8
415,2
416,1
417,2
418,4
419,4
420,2
421,8
422,2
423,3
424,2
425,2
426,5
427,0
428,2
429,2
430,2
431,4
432,2
433,9
434,2
435,0
436,0
437,2
438,5
439,2
440,3
441,3
442,3
443,7
444,3
445,2
446,3
447,3
448,3
449,2
450,3
451,3
452,3
453,3
454,3
455,3
456,2
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,0
465,3
466,3
467,2
468,3
469,3
470,3
471,3
472,3
473,5
474,3
475,3
476,3
477,3
478,3
479,3
480,7
481,0
482,3
483,3
484,2
485,3
486,8
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,1
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,9
507,3
508,3
509,3
510,3
511,3
512,1
513,3
514,3
515,3
516,3
517,3
518,3
519,0
520,8
521,3
522,3
523,3
524,3
525,0
526,3
527,3
528,3
529,1
530,8
531,3
